sqft,bedrooms,age_years,metro_distance_km,price_lakhs
2507,5,16,10.85,241.27
696,2,12,2.69,69.28
2198,4,28,8.67,153.99
1936,1,18,11.50,179.95
2967,1,20,1.91,323.10
3388,1,17,14.49,243.13
3122,3,8,12.79,265.05
637,3,24,6.95,90.82
1762,2,5,1.21,212.57
2561,4,1,7.69,272.38
2450,3,26,10.89,213.46
1043,2,11,6.27,139.44
3390,1,7,2.09,407.29
2769,4,4,8.08,285.67
2421,3,15,4.06,235.53
1902,5,11,5.98,260.83
856,5,3,9.91,133.27
567,2,27,6.98,116.98
1823,4,7,13.35,238.71
2699,5,15,10.24,259.30
771,1,1,7.68,86.90
1516,5,24,9.95,151.70
2126,4,25,1.12,224.87
3402,5,9,11.56,305.39
481,1,7,3.98,104.05
2886,1,9,14.70,319.96
2038,5,19,2.43,205.79
1768,3,13,9.23,178.60
488,4,30,10.10,99.45
3253,3,7,11.35,368.97
2151,4,5,0.90,330.69
3309,3,1,2.56,424.04
3394,2,15,2.35,310.54
2251,4,15,4.53,290.99
2210,4,27,6.56,223.45
1202,4,22,14.88,127.37
2456,2,9,11.16,259.63
1534,2,24,8.36,107.78
3018,2,14,7.58,276.06
2653,4,27,8.94,206.62
994,1,0,2.59,136.14
2244,5,14,9.67,238.61
2594,3,1,7.35,455.94
685,1,1,5.08,124.87
2967,3,16,5.66,296.96
720,2,6,9.01,105.11
2395,4,15,2.76,284.18
2243,2,5,5.50,254.73
2837,5,1,12.81,332.25
1017,3,24,6.93,83.54
602,4,28,13.65,76.83
2454,3,29,1.13,268.18
1291,2,8,11.83,143.90
1822,5,24,1.07,212.60
2340,5,17,5.25,276.75
3195,2,0,9.99,379.89
1650,1,25,11.84,149.07
1232,1,20,3.05,94.07
3339,4,29,2.83,299.55
2162,3,16,1.81,253.88
2865,4,17,9.23,292.05
955,1,29,12.76,82.82
1853,4,23,4.43,186.41
1851,5,1,11.82,229.07
2112,2,23,11.34,166.35
1178,5,13,14.78,142.99
1311,3,12,12.00,122.41
1610,1,24,14.47,151.81
1538,4,23,4.22,201.75
3241,5,16,2.45,369.44
2321,5,11,13.47,246.71
1066,1,5,13.42,96.61
2886,4,30,12.87,273.25
3400,5,12,14.76,368.36
3492,5,30,9.88,329.92
2059,1,22,13.36,191.23
1477,5,9,13.78,186.52
1887,5,25,6.94,194.54
3134,2,16,3.74,284.41
1511,4,13,11.26,204.69
2701,5,24,12.67,242.75
2543,1,2,2.71,292.78
671,2,2,5.17,96.82
1098,1,1,4.63,163.96
1160,4,25,0.98,172.17
2496,1,17,1.75,207.97
1614,3,3,6.25,166.44
3251,5,8,12.89,354.08
2583,5,26,14.73,275.98
2980,3,8,13.10,312.11
658,1,8,0.79,62.63
2275,1,9,4.57,262.94
3467,1,19,8.02,290.95
2228,2,30,12.85,178.80
1121,3,15,11.09,112.09
2980,1,27,8.62,177.79
3228,3,14,2.15,306.29
2302,5,19,8.92,202.45
851,1,7,11.82,95.74
1994,2,19,1.16,206.62
2293,1,28,3.66,140.72
1920,4,6,9.20,196.57
2088,1,26,0.84,245.98
1483,3,24,8.62,96.26
1297,2,25,4.34,142.18
1998,3,27,7.45,181.54
1639,3,22,13.25,127.80
1393,2,25,14.33,122.05
2981,1,1,13.09,359.90
1841,4,11,1.90,270.75
1683,1,9,11.27,225.87
1554,5,18,0.25,261.66
920,5,5,9.60,145.89
2079,5,4,0.27,282.07
707,3,12,13.66,77.70
2674,5,20,12.70,239.55
686,2,16,12.94,42.21
2959,3,26,13.76,210.18
487,2,11,0.51,122.86
959,1,13,2.22,110.75
1486,1,16,5.75,163.40
2515,5,18,5.53,313.80
3415,3,7,14.66,311.75
568,2,0,5.88,92.76
846,5,25,5.62,101.32
2289,5,25,14.76,177.18
2810,3,30,7.22,219.08
2993,5,13,4.60,286.66
1998,2,20,3.60,206.80
2221,3,4,6.72,251.53
2837,5,22,4.58,314.10
1064,4,12,0.69,250.36
853,5,18,9.03,125.75
830,1,24,4.21,91.32
735,3,23,7.43,91.55
1070,3,23,5.86,58.80
2664,5,27,6.89,321.71
2199,5,29,3.09,267.90
1183,1,9,3.92,159.10
1904,5,21,10.87,174.22
2416,2,25,5.07,233.55
477,5,30,10.18,127.21
2380,4,2,0.18,389.57
2322,1,2,7.37,260.12
524,1,9,8.28,104.83
670,1,29,7.89,62.44
3019,4,7,7.23,335.86
1350,2,7,4.29,187.02
2229,3,26,8.28,199.10
825,1,27,7.60,154.77
2142,1,19,7.94,151.38
2902,2,17,7.85,280.62
1674,3,4,13.24,216.29
2734,3,9,0.10,373.67
2260,4,27,8.79,156.05
2710,1,9,1.62,259.32
3093,2,17,13.62,276.03
1601,5,29,1.43,197.27
3287,4,26,10.17,286.14
2483,1,29,11.44,219.03
1270,1,14,9.55,57.32
1770,3,14,3.21,115.92
2134,5,12,10.82,256.90
3135,4,6,10.20,288.28
3289,4,3,11.08,360.41
3166,1,8,5.58,263.49
2549,1,7,13.67,269.84
1712,1,15,6.12,287.80
577,3,12,11.46,33.59
2040,1,30,1.97,200.29
1778,1,10,5.19,160.09
1584,3,0,4.57,225.79
2511,1,16,12.46,181.83
1664,1,9,1.08,186.02
1894,4,1,10.11,251.20
2845,3,30,8.21,220.59
2340,1,27,12.72,171.09
2924,3,19,5.88,242.18
3340,5,10,10.90,317.56
639,4,4,0.22,130.49
1718,5,9,11.44,213.76
682,4,8,12.12,169.67
1849,1,17,12.97,201.46
3023,1,30,11.92,245.02
782,1,19,7.52,104.34
2187,2,8,6.61,209.40
489,5,0,12.46,85.96
3379,2,16,14.66,284.80
2808,4,9,3.56,350.71
2174,4,23,7.53,233.61
2905,4,1,12.14,351.70
741,2,13,0.53,192.64
3200,2,4,14.85,337.90
2771,3,11,5.95,288.06
1805,3,8,9.37,144.33
1183,5,5,13.78,162.96
2743,1,7,14.35,285.20
3349,3,18,6.61,328.48
3011,2,4,6.51,370.76
1903,5,15,3.15,181.12
2261,5,1,9.58,250.23
1996,3,12,12.18,190.13
2811,4,10,12.39,229.25
564,2,3,11.51,68.83
1061,2,6,0.25,165.78
1134,4,20,11.15,123.01
3183,2,25,3.87,276.33
3201,5,25,14.77,277.07
906,4,11,6.28,127.28
3355,4,1,4.05,364.64
846,4,17,11.73,83.42
3296,3,25,10.49,284.56
822,4,3,12.77,90.34
1473,4,30,12.86,184.65
1778,5,17,4.75,237.67
2690,5,11,0.48,312.03
1978,5,21,8.06,135.70
2642,3,26,2.77,269.89
1141,1,27,12.15,143.06
3108,5,20,11.97,314.68
3045,5,30,9.46,263.71
2124,1,8,4.67,260.94
1763,4,27,9.12,156.80
1770,2,21,5.05,172.30
3446,4,24,11.03,319.84
2741,4,3,4.24,314.06
485,1,13,14.66,66.69
1681,3,22,10.60,112.50
675,2,18,7.80,107.34
2453,4,30,9.09,229.49
2572,3,14,1.47,349.36
3394,2,7,10.17,364.57
2054,2,7,0.13,374.56
2697,5,27,3.12,324.79
604,3,19,5.85,88.48
3371,2,12,12.61,331.70
2478,1,15,11.17,249.91
3240,5,13,3.95,533.89
2118,4,20,10.54,227.62
3127,1,22,0.30,350.51
685,2,28,5.39,43.58
2502,3,2,14.28,304.18
1955,5,8,11.82,233.78
2701,5,16,1.12,337.47
2889,3,10,12.99,315.98
2602,5,13,6.69,287.10
1729,5,15,11.80,150.24
1983,3,1,7.42,236.43
1697,2,28,1.77,231.14
2476,4,27,12.23,211.82
474,2,28,6.71,18.68
1529,1,25,11.86,159.12
2849,2,19,5.67,239.00
762,5,12,8.35,71.68
2873,4,27,5.24,171.43
2505,3,5,10.44,262.62
2709,1,26,8.03,218.41
704,2,0,2.57,115.28
2386,1,18,1.86,226.19
626,2,12,3.59,121.43
2750,3,27,10.22,294.78
1975,2,12,13.07,212.80
2575,4,15,14.00,262.56
1079,1,12,13.45,115.57
2819,1,18,12.87,223.17
2367,2,21,3.87,267.74
3117,5,6,2.00,380.28
1009,5,26,13.25,98.98
2426,5,0,4.29,288.63
3403,5,2,9.76,393.98
3468,3,7,14.14,348.22
1519,4,11,1.12,188.88
588,4,10,13.95,125.94
1926,2,0,12.09,249.20
2222,4,13,8.27,165.50
2030,4,4,10.10,284.30
2471,1,10,5.92,230.55
2271,3,20,13.35,271.02
1386,3,12,10.72,194.57
1186,3,6,6.43,152.05
2152,1,18,2.09,167.99
2879,3,8,10.42,297.70
1136,2,16,12.41,68.58
2266,5,8,9.96,269.42
3450,1,24,11.63,275.88
545,3,8,0.60,108.44
2372,1,26,11.78,167.95
1442,4,27,14.94,160.63
2929,3,21,14.51,339.56
1704,2,4,0.43,294.36
491,2,2,4.75,96.26
568,1,25,9.33,128.29
1677,3,12,1.13,254.77
2608,1,12,3.51,281.93
1583,2,19,9.53,81.58
2431,5,24,10.75,219.50
2990,4,11,12.97,281.76
2576,5,20,4.20,276.27
1712,1,6,0.73,192.12
967,1,0,11.71,178.38
1837,5,21,13.66,203.85
918,3,17,4.23,120.99
739,2,18,10.57,94.86
3143,4,20,3.25,330.46
3148,5,3,3.09,405.27
3419,4,14,12.73,319.21
1778,5,12,10.07,189.38
1626,4,2,3.24,220.48
3325,1,2,6.63,378.41
3402,1,13,4.25,305.44
1120,2,0,12.42,112.81
640,5,6,12.15,97.68
3460,1,8,1.57,394.27
2902,1,4,8.75,272.26
459,2,5,13.14,84.45
2959,4,1,6.34,414.60
2119,4,30,10.00,210.20
3163,5,11,3.01,392.14
2157,3,21,9.91,213.30
1451,4,14,11.46,154.34
2945,1,15,11.07,299.69
1151,5,17,5.65,117.77
3057,1,5,12.83,234.97
1321,4,28,14.55,107.81
1221,4,29,13.42,170.41
2878,2,5,10.12,283.45
2042,2,18,11.30,122.37
913,2,14,5.33,109.28
3343,1,29,9.19,308.11
1936,4,13,8.99,240.68
2507,1,23,0.78,244.02
3228,3,15,7.57,243.35
3490,1,24,11.33,279.09
2660,4,3,9.16,286.15
2313,5,6,0.93,372.53
1172,3,20,8.53,124.32
1420,1,23,6.52,131.68
1502,2,0,14.43,210.31
2272,4,20,2.97,266.03
3149,3,22,4.23,324.47
2873,2,8,2.22,341.35
1497,5,25,14.04,147.34
1055,1,5,3.68,103.85
3403,3,13,7.57,320.11
3210,4,20,4.17,294.80
2759,5,1,0.20,465.71
2637,3,26,5.42,224.88
2558,1,8,2.94,256.52
3083,5,25,2.68,281.29
1953,5,9,8.98,186.24
1640,3,11,0.77,195.02
2178,3,20,13.49,197.61
2829,1,3,1.23,330.24
1105,2,2,8.96,159.81
3113,1,24,11.25,221.72
3450,4,8,14.55,302.99
2047,3,6,14.84,193.26
1545,5,25,12.33,100.90
932,5,1,8.40,163.78
1920,5,26,3.40,245.23
2774,2,24,4.21,244.19
2071,4,1,7.19,233.58
2339,5,10,13.93,236.95
805,3,18,14.08,80.89
1156,3,21,14.11,121.60
1589,5,7,1.68,188.54
2090,4,8,3.33,267.15
3132,4,17,3.55,365.69
1405,2,25,0.85,110.98
2371,2,12,11.31,290.52
1664,4,13,13.41,187.68
1216,3,26,7.31,73.25
1106,2,27,8.44,132.39
3396,2,12,10.95,357.35
1794,5,4,5.80,206.26
528,5,18,9.93,66.97
1054,1,2,13.32,129.69
1722,4,4,2.65,274.18
2659,1,21,5.17,230.22
1163,2,0,12.54,174.52
559,3,28,3.28,80.89
537,4,18,0.27,18.00
2177,5,0,1.02,409.33
3208,1,11,8.29,299.24
948,5,6,4.83,133.65
740,1,13,5.13,18.00
2669,2,15,10.44,206.49
2907,2,23,2.39,271.58
1693,3,3,2.65,233.59
2577,5,5,9.66,311.49
1401,2,3,1.76,220.73
2970,1,20,12.38,227.22
2082,2,2,0.62,310.72
3431,1,24,9.93,326.72
3455,3,23,6.57,377.73
2171,3,26,3.10,226.28
844,3,3,9.09,74.60
3165,3,30,4.48,312.93
2288,5,15,1.01,267.35
3033,1,10,10.18,338.33
466,3,0,5.73,117.68
2357,4,23,3.36,202.11
1009,3,18,6.23,155.63
534,3,19,6.45,41.54
2382,4,24,6.03,245.26
2170,1,15,1.13,250.83
2891,5,26,2.35,325.47
3196,4,24,10.18,303.90
1223,1,23,1.32,140.57
2260,3,0,10.96,319.82
838,2,3,12.22,113.51
2432,2,3,6.09,305.20
3169,1,0,4.91,342.83
2098,5,26,14.37,226.26
2928,3,11,10.03,275.03
744,1,5,14.81,137.29
650,5,27,7.01,89.92
1678,3,20,10.26,145.40
2703,1,20,1.88,224.54
3113,3,15,10.98,217.81
1951,4,24,3.56,214.81
779,2,14,8.82,69.68
2989,1,30,7.17,271.85
1969,2,21,3.86,224.73
3430,5,16,2.12,391.64
1544,5,28,0.41,213.03
2992,4,9,14.50,322.98
1835,2,12,14.03,168.53
2218,5,10,12.25,216.27
944,1,20,14.97,35.22
3112,1,14,14.79,256.24
637,3,25,14.11,94.73
1000,3,8,7.93,103.32
946,1,22,3.21,110.79
1559,5,3,1.84,205.77
691,4,17,13.63,48.31
2153,1,26,5.64,213.10
2753,3,18,12.44,255.27
3244,5,11,4.67,356.12
3120,5,30,2.74,324.97
3487,5,0,13.44,440.84
517,2,30,1.38,69.75
1522,3,18,0.46,208.49
1110,5,13,0.82,189.45
1256,2,15,1.11,139.30
2100,1,18,3.39,240.69
2950,1,25,11.84,278.47
2483,2,2,6.68,277.96
1194,2,18,5.84,119.63
893,3,15,1.02,141.26
3484,5,6,3.95,407.19
2101,3,20,0.78,241.67
3452,1,24,11.38,267.78
3468,4,21,14.24,304.70
1322,1,20,2.63,139.32
1943,3,12,0.46,235.05
576,5,30,8.29,18.00
2517,3,16,7.18,218.45
3024,5,10,10.34,380.96
3434,4,5,12.01,404.53
2681,3,11,7.88,252.74
1678,4,16,14.95,188.46
3482,1,0,10.98,348.18
3475,3,6,5.40,362.73
2247,2,29,5.31,233.45
2138,2,17,3.23,254.70
2583,2,10,11.20,215.51
2311,1,15,2.08,224.71
2567,3,5,4.85,315.16
2691,1,0,8.81,291.02
2629,3,11,1.97,314.30
518,3,26,8.70,81.92
2916,3,18,4.51,257.65
1270,1,6,3.78,167.97
2249,3,2,12.49,284.18
2030,4,6,4.32,393.08
1392,4,9,4.06,194.37
1848,4,17,9.98,205.97
2695,4,6,2.08,280.38
3187,1,7,3.39,394.26
3231,4,1,7.73,402.45
3429,5,20,14.02,348.79
911,4,4,5.00,137.38
1081,4,15,4.75,193.31
2390,2,12,0.20,351.50
3224,5,11,11.29,279.27
3205,3,8,12.20,327.95
3121,3,9,12.89,322.37
3231,4,3,12.81,351.97
2420,2,15,1.89,288.64
465,1,13,1.36,49.01
2927,5,29,4.76,314.94
2423,2,19,9.61,248.90
1900,2,26,5.81,193.40
2390,1,12,8.71,221.76
2978,5,25,10.67,316.48
883,5,9,2.17,95.93
593,1,29,10.22,27.36
2370,5,26,2.07,259.76
482,5,16,14.64,41.57
973,3,5,6.99,113.29
1212,3,2,9.98,117.74
1703,4,25,13.44,185.23
1847,2,7,11.31,138.25
1400,5,26,3.97,140.11
1120,1,0,13.73,161.67
2746,1,22,13.16,212.34
813,2,15,5.30,143.87
1165,1,23,13.78,106.16
1029,2,1,5.94,128.93
2544,4,25,13.17,213.11
3466,5,14,14.80,308.89
3154,5,12,12.96,321.71
471,2,12,3.60,61.27
659,1,30,14.28,76.11
1020,3,17,4.44,69.60
3432,5,25,11.09,352.22
633,4,9,4.54,76.77
3244,1,22,4.33,291.65
3072,1,5,12.82,313.83
3001,5,15,0.31,395.65
1600,5,12,8.21,200.11
1042,2,13,12.46,86.16
925,1,16,1.40,73.05
2691,1,21,12.81,247.24
2779,5,3,14.72,364.95
2793,4,19,9.54,313.01
3157,5,19,12.14,293.29
2498,4,28,9.33,252.19
1615,2,4,3.03,179.10
3296,4,18,7.94,334.88
1881,3,24,2.78,144.10
3054,1,22,5.47,231.64
723,2,28,0.19,103.59
1496,5,3,8.60,252.65
2117,3,27,8.35,160.18
1369,5,18,3.10,169.49
2272,3,27,0.84,257.57
3112,4,2,7.36,333.72
1807,5,15,5.34,206.74
1764,5,9,10.90,219.63
2872,4,29,9.39,288.56
2722,2,13,0.40,338.52
2735,3,11,9.56,289.54
794,2,18,7.32,92.92
3401,3,22,14.36,276.06
3385,3,16,9.31,348.57
1078,3,0,0.69,227.08
2702,1,26,14.09,290.65
3425,3,17,5.19,306.95
994,1,3,12.65,77.00
1894,3,26,5.17,205.84
1286,3,25,11.12,124.78
1049,2,6,0.72,185.65
3283,4,22,4.66,339.81
2059,1,8,0.89,238.43
2926,3,14,0.95,353.16
2333,5,30,10.94,228.84
1010,1,10,7.36,66.77
2034,4,6,12.10,289.70
2738,2,24,2.14,227.86
2698,5,1,7.17,498.38
642,3,10,10.12,61.78
1171,3,14,6.49,121.61
1229,3,25,5.73,134.43
561,3,1,12.53,135.67
756,3,12,9.29,89.09
1464,2,9,1.69,160.74
3480,5,26,8.51,266.51
1320,5,19,6.89,203.78
967,2,2,6.35,98.47
1211,2,10,12.80,155.73
3214,1,23,8.04,384.44
2206,2,3,8.77,237.36
2089,4,5,10.82,214.85
1065,3,28,11.43,80.87
922,4,11,3.21,140.95
1445,3,14,2.30,165.12
3457,3,25,12.15,42.91
3236,4,12,12.46,282.38
1757,2,19,3.31,203.73
1074,1,24,11.10,102.53
1070,2,29,13.79,106.43
1600,2,24,6.57,152.62
2105,2,20,4.18,199.20
1806,2,23,3.50,179.74
1576,1,20,1.86,320.57
1729,1,21,6.22,158.33
849,4,24,7.67,83.56
1981,5,28,10.79,239.89
1803,3,29,4.49,231.75
703,5,26,7.26,104.55
2667,5,27,3.39,254.20
1337,3,14,12.88,117.16
2015,2,22,14.60,181.12
1496,1,30,7.33,196.43
2602,1,16,1.96,270.23
570,1,0,11.64,86.57
3305,3,14,4.42,294.56
3175,3,13,8.08,233.95
3222,5,24,7.36,333.34
885,3,17,4.31,93.19
2242,1,25,5.94,256.11
2007,1,8,4.82,204.59
2625,5,12,3.95,317.89
2923,5,29,1.46,305.63
2079,3,21,11.26,212.52
2092,2,16,6.14,205.85
630,2,8,1.65,89.25
2315,1,11,11.61,210.38
538,3,7,0.58,124.78
1493,2,25,3.65,157.37
887,1,5,2.81,157.84
2192,4,26,2.18,267.62
3274,4,20,5.89,298.54
3095,4,7,14.50,345.54
1435,3,27,2.49,146.54
2696,2,1,0.83,326.66
596,3,29,10.70,125.59
2209,4,30,3.70,259.25
1612,1,15,0.22,239.18
1093,2,26,0.55,153.66
3311,1,20,1.87,324.71
2342,2,16,1.97,219.61
2769,3,22,0.21,323.35
3429,5,29,12.02,277.79
1768,4,2,11.22,210.04
2590,5,0,6.20,377.58
1805,2,4,12.95,239.73
927,2,23,8.57,96.98
2031,3,22,2.69,267.29
606,1,7,7.43,53.89
2440,2,1,6.75,238.59
3097,1,21,1.68,328.73
2367,1,13,0.68,331.68
1848,5,16,0.61,232.96
1973,2,9,4.05,206.67
893,3,27,7.97,76.15
1779,5,4,11.16,182.77
600,2,7,2.12,79.40
2955,4,30,6.86,357.72
1289,5,19,5.18,256.74
1130,5,12,5.28,171.47
841,3,20,14.74,188.45
645,4,18,12.39,88.25
3283,5,19,4.74,299.55
3238,2,30,9.96,299.00
2632,2,8,4.80,371.44
2633,5,30,14.75,280.94
2955,3,7,6.38,321.21
1468,1,7,9.50,233.09
1494,3,16,1.46,199.90
3103,1,5,6.08,320.81
503,3,1,8.63,79.81
1316,3,30,14.50,85.70
2221,4,22,10.16,199.47
2566,1,9,11.41,229.19
1011,2,3,12.21,188.71
665,4,20,12.16,91.54
1322,2,19,4.78,106.12
2813,1,6,9.36,228.58
897,4,20,3.57,134.73
2990,4,15,13.68,281.49
1260,5,27,1.64,187.54
1130,5,16,10.29,142.05
1024,1,9,1.49,178.61
1742,1,14,11.03,173.42
3268,2,25,5.38,310.14
1116,4,1,0.36,230.33
2989,3,30,2.54,324.81
2541,5,7,2.06,299.14
2831,5,28,5.80,242.37
688,2,17,1.57,124.68
